file,title,cluster
bd3945ec343cc4535650c9425aa143f71716de7c.json,The clinical importance of the nomenclature,1
634128ea7d7736750e1c3cd0a48bb37843d06dac.json,A Strategy To Estimate Unknown Viral Diversity in Mammals,1
38aa050ad79d8a1d7022c33535255ce9d47914e5.json,Potent Inhibition of Junín Virus Infection by Interferon in Murine Cells,0
61722c462b054f36461375e96e502cbf22648c04.json,2 convergent Research center for emerging Virus infection,6
9001b914a0f375d8c4a114e5f24469ffe732e8e2.json,Symposium on Herd Health Management-Dairy Cow,3
22afe9c42820085341a330654ee849e530c474ba.json,Respiratory syncytial virus outbreak defined by rapid screening in a neonatal intensive care unit,9
2933cf51ec074173b54ccecf9d945a7785ccf4bb.json,Structural breaks in international tourism demand: Are they caused by crises or disasters?,4
7107f088cbed45d8a06a026276ccf4d602d50f10.json,Microglia Play a Major Role in Direct Viral-Induced Demyelination,0
f3cb4102ee8c1aeb8e68595843292801a08effe3.json,Global Catastrophic Biological Risks Pandemics,5
a56a34a0b5c0ac62e608459da30c0348cf337d2c.json,Letter to the Editor Rhinovirus genetic diversity among immunosuppressed and immunocompetent patients presenting with a severe respira- tory infection Keywords: Human rhinovirus Genotyping Severe infection,9
8f8eb4f004c2002face0723f2f58cc411954d36e.json,Complete Genome Sequence of Bordetella bronchiseptica Strain KM22,1
5f52ac4738312fdb215ad06e5a2e886a6fb63efd.json,SUP PLE MEN TAL MAT ERI AL,0
2188208efc7ac8e7721dfc5cbea787d5b62c3537.json,Alternative conformations of a major antigenic site on RSV F,8
cdf9181b9ee78236d9b767ab5a7af84bc17e2e49.json,Diagnosis and Management of Community-Acquired Pneumonia: Evidence-Based Practice,9
0a9a85b82e17c880c923b5de9bec22931ed76f13.json,A line immunoassay utilizing recombinant nucleocapsid proteins for detection of antibodies to human coronaviruses,1
dd74c8f2961dc716ec9d0c412206c88e0cb9b314.json,Information theory-based algorithm for in silico prediction of PCR products with whole genomic sequences as templates,1
f905f78b32f63c6d14a79984dfb33f1b358b8ab4.json,Multimerization of HIV-1 integrase hinges on conserved SH3-docking platforms,6
2530bf775255e8026438e91645aba95d0506928e.json,A Chimeric Sudan Virus-Like Particle Vaccine Candidate Produced by a Recombinant Baculovirus System Induces Specific Immune Responses in Mice and Horses,0
82500c03d57e67a212959c13a049dc82c24759cd.json,Métapneumovirus humain Human metapneumovirus,7
b46317ea8250eebf58f3f5dd1849e1b64148dffd.json,Article PI4KB on Inclusion Bodies Formed by ER Membrane Remodeling Facilitates Replication of Human Parainfluenza Virus Type 3,6
0758f1df7269d8429d9109ac01519b4610de3cb2.json,,3
48bd5f768f3464ac253a120d2eddeb89c323f324.json,Integrated Microfluidic Nucleic Acid Isolation,8
2f38704ef0009750d4c48d1cd7ac81e898023527.json,Article 9 Alangari AA (2020) Multiple Family Members With Delayed Cord Separtion and Combined Immunodeficiency With Novel Mutation in IKBKB,9
207885268ef61365fc89820ecb7c854a3dc23d9a.json,A novel mechanism of RNase L inhibition: Theiler's virus L Ã protein prevents 2-5A from binding to RNase L,6
d80b601453836f7cec83e253eba417098c96cd28.json,,3
fef0bb9eaac69559d0ff2f92ff83e0affd4435f0.json,Pathogenic Influenza Viruses and Coronaviruses Utilize Similar and Contrasting Approaches To Control Interferon-Stimulated Gene Responses,6
91dfd944dfdd855dc858daf68d7af0f180d81fb1.json,Heteroaromatic ester inhibitors of hepatitis A virus 3C proteinase: Evaluation of mode of action,8
a48dd4c662375091bb27c3ba2fa671faae3a0c79.json,,3
6485112a971484dfa041b32b35b25707954807db.json,The Dynamic Nature of the Golgi Complex,6
1d39fce3c09c95c13c9b8e18c1ab9a85c24ff7c6.json,Enhanced pathogenicity of low-pathogenic H9N2 avian influenza virus after vaccination with infectious bronchitis live attenuated vaccine,0
acd84940fc5cd8e8f54efd04ab672f5afbd2d7df.json,,7
ca126845fa5f967ec6514052545e8df56d8b53de.json,IL-12 deficiency transiently improves viral clearance during the late phase of respiratory tract infection with influenza A virus in mice,0
3928a133e136a1a11b7d97a047b3aa8500e289b0.json,Revue générale Infections à Bocavirus humain Human Bocavirus Infections,7
7fa6a89af06e588d737c868cdcebceaee14d7532.json,The Heritage of Pathogen Pressures and Ancient Demography in the Human Innate-Immunity CD209/CD209L Region,1
25c6b4df1a8e44244505536d61cf436e8bd75753.json,Serological assays for emerging coronaviruses: Challenges and pitfalls,1
bd7696766699e7ad6e65d4c74534e2208c26ac3d.json,,5
cf43c6c9dc8386376291464914a8f43f94aa5e1d.json,The ontogeny of the porcine immune system,0
a4ac0a556416712bc053f001c5bc6931c908bfd1.json,Development of a Plastic-Based Microfluidic Immunosensor Chip for Detection of H1N1 Influenza,8
2106f8105f3cb30bf479fdcb6d78e4891a204080.json,Crystal structures of a bacterial dipeptidyl peptidase IV reveal a novel substrate recognition mechanism distinct from that of mammalian orthologues,8
62a87de16c26fdb905173879c56ec19a2879921f.json,Blood immune transcriptome analysis of artificially fed dairy calves and naturally suckled beef calves from birth to 7 days of age OPEN,0
d933299806fcd4e9e8a61e7760267154926c05ee.json,,5
63f7049d200896290b38b38711113054f7ea1b50.json,,0
edda071902736c1a4f68a925e1075f17c182da00.json,KEYWORDS Ferret Geriatric Neoplasia Adrenal disease Lymphoma Cardiomyopathy,3
abcfffafab399149d4adadd6bb458c4994e2025d.json,Time-varying transmission dynamics of Novel Coronavirus Pneumonia in China At a Glance Commentary Scientific Knowledge on the Subject: Since,4
7a573001d0844b483871d264983ef4a6d9fde937.json,VIEWPOINTS PaPErS journal of health global Improving health aid for a better planet: The planning,5
eb9634441822b1c1c933683fc5f45fb7c5670303.json,Prospective comparison of RT-PCR/ESI-MS to Prodesse ProFlu Plus and Cepheid GenXpert for the detection of Influenza A and B viruses,9
74bedf868bf72275e1d5a60150246aaae93d3be5.json,Development of a Novel Ex-vivo 3D Model to Screen Amoebicidal Activity on Infected Tissue,0
81c3ddd40e86e0ae6fa323bc0a3223c72a9e6474.json,,0
f44c285b42a7a383dcf9ea46db5ad4aa025e5d67.json,ScienceDirect Use incentive approach to promote BAT/BEP for centralized incineration facilities of medical waste in China,5
6d02914238a99c539638fa7bed1e5a658c731c1f.json,Zoonoses in the Emergence of Human Viral Diseases,1
65648f466638ba2c4b63d49a1c46e834719890a5.json,,3
e0ea1ef905ee29982a58399b858842a8e212116e.json,Alternativ Cefoxitin (▶ 18.2.2),3
205526fcb688471fe9bec70a1e9eb2d33a7900f9.json,,0
1af946e7a63239d9b462e126f98d0cd6d24df4bd.json,Respiratory viral coinfection and disease severity in children: A systematic review and meta-analysis,9
e296fa71274bad6cabcf683a2ba47e58b1326877.json,International Journal of Health Geographics Musings on privacy issues in health research involving disaggregate geographic data about individuals,5
3e17b2f3ecc3dcd772b82bb6a680943d20371507.json,Mini review First International Symposium on Influenza and Other Respiratory Viruses: summary and overview Kapalua,0
9bd5e4119209e96a49215da26b88c6683021eb8f.json,,5
d65e23d9cd5d984bd31df5c4363d376dbcc527d9.json,Augmentation of chemokine production by severe acute respiratory syndrome coronavirus 3a/X1 and 7a/X4 proteins through NF-jB activation,0
59061e34ef001be15318b4e286702b705b9b9547.json,Relationship between polymorphism of DC-SIGN (CD209) gene and the susceptibility to pulmonary tuberculosis in an eastern Chinese population,9
854a8aec31c2f1adab1481c2cedee5137c7c3d9d.json,,2
43d195717d02e34be24cc80d371079fd9c346338.json,Coronavirus reverse genetic systems: Infectious clones and replicons,6
bafffaf17be4302a4a6e79b3f65b9238ab00c258.json,ARTICLE Generation of therapeutic antisera for emerging viral infections,0
70bf84100e6157f3815acca7b5120131c0f8cf4e.json,viruses Small Animal Models of Respiratory Viral Infection Related to Asthma,0
61d6a568f97488b71a7ad350bbdfe784a4e224e3.json,Association of the Infectious Bronchitis Virus 3c Protein with the Virion Envelope,6
9356254afc3321a1eb64bba898ce1686d7e6b9fc.json,Calf Pneumonia,3
506be93ecec78b156103ddd221d533d6575512fc.json,,5
0cb9c296684ca5e71462d825cab2827854a01544.json,p53 is not necessary for DUX4 pathology,0
4df45b8404d9de0b376a8ae3c282a517df36fe51.json,Two novel HLA-A*0201 T-cell epitopes in avian H5N1 viral nucleoprotein induced specific immune responses in HHD mice,0
73dcb608131147679066aeaa03ce878d328f5542.json,Antibody responsiveness during immunization and challenge of genetically modified antibody responder mice with murine hepatitis virus 3,0
6c806034d4e17f1e43b7415c9c906c8160622694.json,Spatial-temporal transmission of influenza and its health risks in an urbanized area,4
b1f6c56ebdfe28d3f2b8f319ad24809db3ff6f9c.json,,9
b6f604393eccaf324af9f608119eec9c5a888ed1.json,Emerging infections in transfusion medicine,3
a1c6c0ff587ce0f94cacc87f5d12a742537f699e.json,From street canyon microclimate to indoor environmental quality in naturally ventilated urban buildings: Issues and possibilities for improvement,4
41a37cace77a305b85a7d6c34532ed1314897058.json,For a better world: Biosafety strategies to protect global health,5
b34cc3d570e41a80c01088f73600357cf071a4da.json,Randomized placebo-controlled trial on azithromycin to reduce the morbidity of bronchiolitis in Indigenous Australian infants: rationale and protocol,9
7737bafb5ddf5ec04a3c0e586e7115112b8cdbe0.json,Vaccines Produced by Conventional Means to Control Major Infectious Diseases of Man and Animals,3
02c9b77cb2898b1597278dbf32a0c61be93d1983.json,Terpene metabolic engineering via nuclear or chloroplast genomes profoundly and globally impacts off-target pathways through metabolite signalling,6
fd37a39ef55dd242c16e280fc6ad7a51fcdf36d8.json,Genetic polymorphisms in host antiviral genes: Associations with humoral and cellular immunity to measles vaccine,0
dacc557b6e40bb69974e2e1a831aef665e524867.json,Cleavage of a Neuroinvasive Human Respiratory Virus Spike Glycoprotein by Proprotein Convertases Modulates Neurovirulence and Virus Spread within the Central Nervous System,6
111e82fd55d8b42cd523cf365b53dfcdaa2165d3.json,A Recombinant La Sota Vaccine Strain Expressing Multiple Epitopes of Infectious Bronchitis Virus (IBV) Protects Specific Pathogen-Free (SPF) Chickens against IBV and NDV Challenges,1
774a3f02529392866ee01ae0d346125de2207fbd.json,Epidemic and Emerging Coronaviruses (Severe Acute Respiratory Syndrome and Middle East Respiratory Syndrome),9
6095a04fde33482975d02a46069943568b11ebe7.json,PI3K/Akt/p53 pathway inhibits reovirus infection,6
ccb1a8256c417a6de3d98b783f3ef08f4c74c1e4.json,cGAS and CD-NTase enzymes: structure,6
1767dc346302e4909eb15785ad15a0f3793551ad.json,Rational design of highly potent HIV-1 fusion inhibitory proteins: Implication for developing antiviral therapeutics,8
d33f93f05615fe9f466e1350cda36611e2b9dc11.json,,3
e0737ee93afe7b0bf06b1e3f9adf21d541dd10f0.json,Protective Effects of Long Pentraxin PTX3 on Lung Injury in a Severe Acute Respiratory Syndrome Model in Mice,0
8605e1247b39f6fa0d909b356eb198aacd09843c.json,Modeling the dynamics of novel coronavirus (2019-nCov) with fractional derivative,4
3c3572ba243d61e7631725669c8f88347fdbd5bc.json,Veterinary Science Short Communication Prevalence of feline herpesvirus 1,1
ec4a332b863ec8c1bbf94d605b17c67acddf0889.json,Seroconversion to HCoV-NL63 in Rhesus Macaques,0
aabc48d2fa8311668dd61ff11f8a270341cd54ad.json,,9
4a64ef9057367aec43ce6b8a40e9bb0c9587fdf4.json,Additive Effects of Mechanical Marrow Ablation and PTH Treatment on de Novo Bone Formation in Mature Adult Rats,0
e6515195e0fdd7f1fb437a01b8737685d6d92765.json,,1
ae4aafc844b48dd56e720695758e632188e71daa.json,The duty to treat in the context of an influenza pandemic,5
60e92a95d26f2123fafd61d106c75400b9757734.json,,7
4929c99a5e8e59b5e52b3cc3b92a15ecdb1eae7a.json,DIAGNOSIS OF TAURA SYNDROME VIRUS AND YELLOWHEAD VIRUS OF PENAEID SHRIMP,1
2a5b2e11c10d35b22cb2965f62ccc79e61eeb77b.json,Hepatitis B: Prevalence,3
4bf587d8051a33e9e8215ef96afa025a943dc1b8.json,The interplay between infectious pancreatic necrosis virus (IPNV) and the IFN system: IFN signaling is inhibited by IPNV infection,6
85e682cd231ddfde0c8ecbd6642c55b5921c5366.json,Analysis of household data on influenza epidemic with Bayesian hierarchical model,4
ec96d05a4d7eb88ed151f2f8818802a4a4d8a6cd.json,Diarrh6es aiguEs virales • aspects cliniques et 6volutifs Viral acute diarrhea" clinical and evolutive aspects,7
601d3c7ae4ebcd2d835e9cf8d7427ebd0b5db83f.json,Nonstructural proteins NS7b and NS8 are likely to be phylogenetically associated with evolution of 2019-nCoV,1
12294aa31aa231c629eed22b5913119cc78a3027.json,The effects of a novel adjuvant complex/Eimeria profilin vaccine on the intestinal host immune response against live E. acervulina challenge infection ଝ,0
68d2dcc2e0271c4d7d1e0515b9a2eb0443810ea4.json,Immunoprophylaxis against important virus diseases of horses,1
09d9038625c7a2e0aa27f9f04cd7f4b2d7ec6f11.json,Protecting the world from infectious disease threats: now or never Editorial Handling editor Seye Abimbola,5
725984c84bc703a34bc290f897e9f411ba3a67ec.json,MINI REVIEW Bioaerosols and Transmission,5
b346900932930ece4127e7bb8f3990c8e0c1fbec.json,Swine interferon-induced transmembrane protein,0
246f59ddffedd4a166b9317dee38bdf6077b2f3f.json,Identification of novel multitargeted PPARα/γ/δ pan agonists by core hopping of rosiglitazone,8
7ba43b027d5621418b5c740c96a748c4721a6824.json,High-resolution CT for identify patients with smear-positive,9
b6111694fc4a96cb39fbd1363e793100372e134a.json,Recommendations for Management of Acute Pharyngitis in Adults ଝ,3
46ebfbb3db79bab7f78361721e37e8b35a34037e.json,Solvent/Detergent Virally Inactivated Serum Eye Drops Restore Healthy Ocular Epithelium in a Rabbit Model of Dry-Eye Syndrome,0
16a28a8a87866ad16d935338c02a95251cb0e85c.json,Putative structure and function of ORF3 in SARS coronavirus,6
9bbfd3d34ee18ea1b9f4669331a6cee9c5992893.json,Virological assessment of hospitalized cases of coronavirus disease 2019 *equal contribution **senior authors with equal contribution,9
a2db51f4b8efb7a9f951d6708b908ce8a7106257.json,,0
abb703e29b1ee7ddf60006b33de199828666d7b1.json,The Scientific Response to a Pandemic,5
cd8bfda4284af708fa290e425b76e5332a5cecb8.json,Microglia have a protective role in viral encephalitis-induced seizure development and hippocampal damage,0
1218f278a4f8d83dac14b23c8f698062812ef9d5.json,Potential impact of seasonal forcing on a SARS-CoV-2 pandemic,4
70da3ee5739197acb1879c1d23606681aaac2e1c.json,A balanced game: chicken macrophage response to ALV-J infection,0
fb773634dcd17957e12be78e5c33ba753d82d3f5.json,Role of Glutathionylation in Infection and Inflammation,0
8763c9240b22a0e841ddb6e7e9a22ef3a566e97e.json,Decreased Sensitivity of the Serological Detection of Feline Immunodeficiency Virus Infection Potentially Due to Imported Genetic Variants,1
76dae8b8fd43335310edca09c522640ac9027edf.json,Crystal Structure of the C-Terminal Cytoplasmic Domain of Non-Structural Protein 4 from Mouse Hepatitis Virus A59,6
689fd267c4b50d1031cd47d18361f76f3275db55.json,Concise Review for Clinicians SARS: Epidemiology,9
2116836ce185f9ba072d01c16bd0282147b37903.json,Thermogravimetric analysis and kinetic study on pyrolysis of representative medical waste composition,8
68a608687b823993cc19698f976ead091971d4b8.json,ABBREVIATIONS: CAP = community-acquired pneumonia; CDC = Centers for Disease Control and Prevention; LRTI = lower respiratory tract infection; PCR = polymerase chain reaction; PCT = procalcitonin; RSV = respiratory syncytial virus; RT-PCR = reverse-transcriptase polymerase chain reaction [ Recent Advances in Chest Medicine ],9
844b876f1636f5d031fe856cd7a63ae5f5c11fe7.json,Proteome Science The impact of surfactant protein-A on ozone-induced changes in the mouse bronchoalveolar lavage proteome,0
e302107d1e121ba1d369e6c2e1fc554fc52fa0f0.json,,3
ca56a20114bc040c855b190e5ba0a9f207e3fb34.json,,3
1894cac8794748c11482c059bc5a2c6d4f1e9527.json,Spectrum of Viral Infections Among Primary Immunodeficient Children: Report From a National Registry,9
ff218f343fbca258501ba42368ecbb57660e5a8f.json,An Analogue of the Antibiotic Teicoplanin Prevents Flavivirus Entry In Vitro,6
11e4df66b6fc6a6eae28a01eb057cef1bf5fadf6.json,A randomized controlled trial of low-dose recombinant human interferons ␣-2b nasal spray to prevent acute viral respiratory infections in military recruits,9
7286c913fa26a50cf613a00e8de9e36b522217c8.json,In vivo and in vitro models of demyelinating diseases XXIV . The infectious process in cyclosporin A treated Wistar Lewis rats inoculated with JHM virus*,0
4e85c20dbbcdf9c1fa08d33a979fe70b48c5b05b.json,New advances in CNS immunity against viral infection,0
d3744e7581b12fe33a93e21e89b5da988b790b4b.json,,3
6085ea96b3a7c381215ba90b26f8664ae7c63178.json,Complete Genome Sequence of a Novel Swine Acute Diarrhea Syndrome Coronavirus,1
5140a6e76f2d904f83352ec46845267debd2d977.json,Nanoparticles and the Control of Oral Biofilms CHAPTER OUTLINE,8
a59906b732bf4a489e282c3e4f499d4166c622e7.json,Evaluating performance of metagenomic characterization algorithms using in silico datasets generated with FASTQSim,1
57a30fc4f036048830b77fa87c64358c48c946d6.json,First human case of avian influenza A (H5N6) in Yunnan province,9
c53f6ab8542fa870daf7f632b827128f87bd821b.json,Effect of Sulfhydryl Reagents on the Infectivity of Vesicular Stomatitis Virus,6
e67d4c945d10fe5783c1289f45611cec25143564.json,,9
98e35a687137cb2b91458118347ad93f7ad188fb.json,A Human Monoclonal Antibody against Hepatitis B Surface Antigen with Potent Neutralizing Activity,0
ae452865fcba8e8bff927f3f00dbf488a2838774.json,Infectious disease symptoms and microbial carriage among French medical students travelling abroad: A prospective study,9
16874a8b95e04383b0ee7049220a36354ffab2ea.json,medicines Inhibition of Homophilic Interactions and Ligand Binding of the Receptor for Advanced Glycation End Products by Heparin and Heparin-Related Carbohydrate Structures,8
a5b3f4df4b5b773e35f56703b5a653559e82b139.json,2 Ministry of Health (MINSAL),4
f9410459142b63fb34eac0375dda7d9b6460b3fe.json,Persistent Foot-and-Mouth Disease Virus Infection in the Nasopharynx of Cattle; Tissue-Specific Distribution and Local Cytokine Expression,0
14f299453a7f500703403a6ef4e6aa2d44a7ab5e.json,,5
b277e521eb43fedeb50a08be126e76dd9bc7314a.json,,1
25ec934edd0a8eb7ef55980e5683355f02b2647f.json,Comment,5
5005d6b72b832c2f442243399ac842b563bfa591.json,,3
7e884f1a409543ae791d8c5926e126ddcaf2d9b3.json,Extracorporeal membrane oxygenation with prone position ventilation successfully rescues infantile pertussis: a case report and literature review,9
766e0afdd0d3c2a1f8d9a6c8b318ca401db0a8bd.json,c Ann Arbor Veterans Affairs Hospital,5
df783d511b145a10e7f609a87392eb50799d2b2b.json,NOA36 Protein Contains a Highly Conserved Nucleolar Localization Signal Capable of Directing Functional Proteins to the Nucleolus,6
cf92932b050dc04a8603447e063156174cff48f6.json,Sterols of the marine sponge Petrosia weinbergi: implications for the absolute configurations of the antiviral orthoesterols and weinbersterols,8
daf5c921872ab27dc1a714408f626f49c71480e1.json,Strain-Specific Antagonism of the Human H1N1 Influenza A Virus against Equine Tetherin,6
625afb5a588fd265e15b652a437ef9f521682aee.json,Montelukast,0
1b7c700ee3a33c0a675a5f7e71a20ce62467b900.json,Expression of HIV-1 antigens in plants as potential subunit vaccines,0
5eb20deb48c231973cf0a796ca1c6898cbf2d07d.json,Design and Validation with Influenza A Virus of an Aerosol Transmission Chamber for Ferrets,1
b3935c8b90d9ca6671636eaae86eab9cb0295fe8.json,Egg yolk IgY antibodies: A therapeutic intervention against group A rotavirus in calves,1
1506c3c38c0d1d33d49fac456b8e1111ab606c63.json,Full-length genome analysis of two genetically distinct variants of porcine epidemic diarrhea virus in Thailand,1
d9c950cf19a2048596a6e143471fb2d0c009d8f0.json,CASE STUDY System effectiveness of detection,5
5535ed240ab00c780ce2aa42f1fbe13ef24b9120.json,viruses Reliable and Standardized Animal Models to Study the Pathogenesis of Bluetongue and Schmallenberg Viruses in Ruminant Natural Host Species with Special Emphasis on Placental Crossing,1
be08b6fe1c140571d54a9d957543434e53801818.json,Factors prognos-tic of visual outcome in patients with subretinal hemorrhage,9
60ba45b7844d2ab35c3df950ad32fb1cb36053f4.json,Middle East respiratory syndrome coronavirus (MERS-CoV): challenges in identifying its source and controlling its spread,0
1c7b536966e355206379e97fd0e8ef71d71fb143.json,,6
9cda860c97d430aea207a063d13e8612e023320c.json,Hiroshi OHNO 4) ,1
b66704a03a688c4065abff41c4977c4c9939c230.json,Lobeglitazone,9
a699959af2a8f69be27e61bb1f4039fc21993686.json,Medical issues associated with commercial fl ights,5
f17e01f828c12b1e9ea5a15bbd27636a3cd3385c.json,,1
b4d499844440e3aacd1644715092e8d170e39517.json,Current topic,5
df6046348bb422f277c38c41f86dedff3843bbab.json,Health care workers' views about respirator use and features that should be included in the next generation of respirators,5
4cb9c6ef889605b3149ab8b59c8258074067ba04.json,Detection of Group 1 Coronaviruses in Bats in North America,1
436e1299cb53dd7f2ae1b47915beffd4dc95bb7e.json,Applications of machine learning techniques to a sensor-network-based prosthesis training system,4
18c14b5b5ac05623665e859e005b26b17c7a0598.json,Bioterrorism and children: unique concerns with infection control and vaccination,3
42f3e7ac9ddbf33112249d7b6c07d1e82e4382bd.json,Eosinophils in Human Disease,3
5b96fac306b9b57121152798668506aabb688cac.json,How the Double Spherules of Infectious Bronchitis Virus Impact Our Understanding of RNA Virus Replicative Organelles,6
dacd254e12fa3856f08e7143c62cbe74f4bb065e.json,Functional Properties of the Predicted Helicase of Porcine Reproductive and Respiratory Syndrome Virus,6
dfb7bbd5bd1c70e09f21125cb5c2e611b1dcee4c.json,Plant tissue distribution and chemical inactivation of six carnation viruses,1
b4e03c82e343ee7d2b37096dbac5fbf84d783aa5.json,Evidence for an RNA Pseudoknot Loop-Helix Interaction Essential for Efficient À1 Ribosomal Frameshifting,6
264e0644c0e8fec8825c5a709103743dd99ea722.json,Early cidofovir administration might be associated with a lower probability of respiratory failure in treating human adenovirus pneumonia: a retrospective cohort study,9
488307d64336beb9c5d6434ba349218fb7d01d5e.json,Zoonoses in Wildlife: Integrating Ecology into Management,1
c8109883501e99e693034067c5eca5b03a87349a.json,Development of a real-time RT-PCR method for detection of porcine rubulavirus (PoRV-LPMV),1
6cb8557be9e1494c669f0e1d0ab5e84a88239a14.json,Molecular biology of severe acute respiratory syndrome coronavirus,6
82d76d619e7be4f0ef2490f933d140ec9f722a55.json,Genetic drift of human coronavirus OC43 spike gene during adaptive evolution OPEN,1
dca48fcd1b8a28f470494d64ea3811707e28766b.json,Dual Host-Virus Arms Races Shape an Essential Housekeeping Protein,6
ee091049684ecee3ab3d1beff9d2e00bd808b7ab.json,Enhancement of blood-brain barrier permeability is required for intravenously administered virus neutralizing antibodies to clear an established rabies virus infection from the brain and prevent the development of rabies in mice,0
eb5417b7729ff5548e5b9ddcb837fa52efc586f8.json,In silico target fishing and pharmacological profiling for the isoquinoline alkaloids of Macleaya cordata (Bo Luo Hui),8
183e393843de9d6c653897f1039ad10af9750347.json,Patterns of seasonal and pandemic influenza-associated health care and mortality in Ontario,5
24b996db83d4d2622d87fb583e6dc6fa277a636f.json,Clinical and CT imaging features of 2019 novel coronavirus disease (COVID-19),9
704a894ab79031263de39fc49d954f7d13aa1bf2.json,Prevalence of Korean cats with natural feline coronavirus infections,1
b1870c85dae2f3bd004c29206c9a0281f4a9a249.json,Effect of Olfactory Bulb Ablation on Spread of a Neurotropic Coronavirus into the Mouse Brain,6
c9a781f7dbf01a37e830ce4571391ea706aa298e.json,Geranylated flavonoids displaying SARS-CoV papain-like protease inhibition from the fruits of Paulownia tomentosa,8
9ae9f0bc8676b51929df1e3d9bb9ca1dc9bde8b9.json,Infants with Atypical Presentations of Alveolar Capillary Dysplasia with Misalignment of the Pulmonary Veins Who Underwent Bilateral Lung Transplantation,9
eea7ee3da4fcd0dc1f2fb5297f169fc08acd6362.json,Beliefs underlying blood donors' intentions to donate during two phases of an avian influenza outbreak,5
925127e986923fcea390cd441b4a9a4df9c1b007.json,Global stability for an epidemic model with applications to feline infectious peritonitis and tuberculosis,4
7aec817203fd739cf21556a51e240c4cbbec5dc2.json,MERS-CoV virus-like particles produced in insect cells induce specific humoural and cellular imminity in rhesus macaques,0
80949ce99e6ecb18f6e030334e48d3712431c4dd.json,(+)RNA viruses rewire cellular pathways to build replication organelles,6
baabfb35a321ea12028160e0d2c1552a2fda2dd5.json,Clinical Features of COVID-19-Related Liver Damage,9
01548ef6d46d6e6d72afe8cbf4e231552b9d2bd7.json,The Presence of Viruses in Uninoculated Tissue Cultures: Sources and Methods of Detection,3
a889893e111bef7d1aa6fe3f030539b5d42d28eb.json,Onset and duration of protective immunity against clinical disease and renal carriage in dogs provided by a bi-valent inactivated leptospirosis vaccine,3
